,input,sensor_type,image_size,resolution_(DPI),nfiq1_quality,nfiq2_quality,minutiae_sourceafis,minutiae_mindtct_m1=0,minutiae_mindtct_m1=1,minutiae_fingerjet
88,_home_Analise_digitais_2004_DB2_54_54_3,optical sensor Digital Persona,328x364,500,3,10,44,54,54,60
89,_home_Analise_digitais_2004_DB1_16_16_6,optical sensor CrossMatch,640x480,500,1,59,40,71,71,61
90,_home_Analise_digitais_2004_DB4_17_17_8,synthetic fingerprint generation,288x384,500,2,31,37,65,65,84
91,_home_Analise_digitais_2004_DB2_107_107_5,optical sensor Digital Persona,328x364,500,5,3,64,80,80,48
92,_home_Analise_digitais_2004_DB4_70_70_8,synthetic fingerprint generation,288x384,500,2,35,25,33,33,34
93,_home_Analise_digitais_2004_DB3_88_88_3,thermal sweeping sensor Atmel,300x480,512,4,29,57,104,104,128
94,_home_Analise_digitais_2004_DB4_74_74_8,synthetic fingerprint generation,288x384,500,1,43,43,59,59,61
95,_home_Analise_digitais_2004_DB4_74_74_3,synthetic fingerprint generation,288x384,500,1,39,42,57,57,61
96,_home_Analise_digitais_2004_DB3_51_51_8,thermal sweeping sensor Atmel,300x480,512,1,55,36,84,84,46
97,_home_Analise_digitais_2004_DB2_35_35_6,optical sensor Digital Persona,328x364,500,2,22,39,50,50,71
98,_home_Analise_digitais_2004_DB2_66_66_8,optical sensor Digital Persona,328x364,500,3,15,31,39,39,59
99,_home_Analise_digitais_2004_DB3_67_67_4,thermal sweeping sensor Atmel,300x480,512,2,55,30,48,48,34
100,_home_Analise_digitais_2004_DB4_89_89_4,synthetic fingerprint generation,288x384,500,2,35,23,44,44,51
101,_home_Analise_digitais_2004_DB2_95_95_5,optical sensor Digital Persona,328x364,500,2,35,33,64,64,58
102,_home_Analise_digitais_2004_DB2_68_68_6,optical sensor Digital Persona,328x364,500,3,28,21,37,37,38
103,_home_Analise_digitais_2004_DB1_80_80_8,optical sensor CrossMatch,640x480,500,4,8,81,104,104,152
104,_home_Analise_digitais_2004_DB3_74_74_4,thermal sweeping sensor Atmel,300x480,512,1,35,65,117,117,112
105,_home_Analise_digitais_2004_DB3_72_72_2,thermal sweeping sensor Atmel,300x480,512,3,26,54,75,75,82
106,_home_Analise_digitais_2004_DB1_104_104_4,optical sensor CrossMatch,640x480,500,1,49,43,67,67,64
107,_home_Analise_digitais_2004_DB3_40_40_6,thermal sweeping sensor Atmel,300x480,512,1,54,74,115,115,151
108,_home_Analise_digitais_2004_DB4_80_80_8,synthetic fingerprint generation,288x384,500,2,36,23,51,51,53
109,_home_Analise_digitais_2004_DB2_74_74_1,optical sensor Digital Persona,328x364,500,2,32,29,53,53,45
110,_home_Analise_digitais_2004_DB2_78_78_1,optical sensor Digital Persona,328x364,500,3,47,25,46,46,29
111,_home_Analise_digitais_2004_DB3_53_53_5,thermal sweeping sensor Atmel,300x480,512,1,52,32,67,67,39
112,_home_Analise_digitais_2004_DB3_57_57_3,thermal sweeping sensor Atmel,300x480,512,2,39,75,101,101,149
113,_home_Analise_digitais_2004_DB2_106_106_4,optical sensor Digital Persona,328x364,500,3,37,15,22,22,19
114,_home_Analise_digitais_2004_DB4_31_31_8,synthetic fingerprint generation,288x384,500,1,39,38,61,61,60
115,_home_Analise_digitais_2004_DB4_97_97_8,synthetic fingerprint generation,288x384,500,3,25,37,41,41,50
116,_home_Analise_digitais_2004_DB4_63_63_6,synthetic fingerprint generation,288x384,500,2,40,27,33,33,32
117,_home_Analise_digitais_2004_DB2_4_4_3,optical sensor Digital Persona,328x364,500,1,46,39,73,73,63
118,_home_Analise_digitais_2004_DB1_24_24_8,optical sensor CrossMatch,640x480,500,1,39,60,96,96,122
119,_home_Analise_digitais_2004_DB4_107_107_8,synthetic fingerprint generation,288x384,500,2,16,18,28,28,27
120,_home_Analise_digitais_2004_DB1_81_81_1,optical sensor CrossMatch,640x480,500,2,50,24,31,31,22
121,_home_Analise_digitais_2004_DB2_46_46_2,optical sensor Digital Persona,328x364,500,2,32,27,54,54,47
122,_home_Analise_digitais_2004_DB1_105_105_6,optical sensor CrossMatch,640x480,500,3,30,31,49,49,80
123,_home_Analise_digitais_2004_DB3_41_41_1,thermal sweeping sensor Atmel,300x480,512,4,14,68,117,117,168
124,_home_Analise_digitais_2004_DB1_46_46_8,optical sensor CrossMatch,640x480,500,1,51,45,86,86,86
125,_home_Analise_digitais_2004_DB3_58_58_5,thermal sweeping sensor Atmel,300x480,512,1,44,51,95,95,89
126,_home_Analise_digitais_2004_DB1_9_9_3,optical sensor CrossMatch,640x480,500,1,54,36,57,57,46
127,_home_Analise_digitais_2004_DB2_95_95_4,optical sensor Digital Persona,328x364,500,2,42,34,59,59,62
128,_home_Analise_digitais_2004_DB1_95_95_4,optical sensor CrossMatch,640x480,500,1,46,42,86,86,88
129,_home_Analise_digitais_2004_DB3_79_79_1,thermal sweeping sensor Atmel,300x480,512,1,39,64,93,93,123
130,_home_Analise_digitais_2004_DB3_46_46_6,thermal sweeping sensor Atmel,300x480,512,1,25,29,91,91,49
131,_home_Analise_digitais_2004_DB4_45_45_3,synthetic fingerprint generation,288x384,500,1,42,25,34,34,32
132,_home_Analise_digitais_2004_DB4_28_28_5,synthetic fingerprint generation,288x384,500,3,31,39,54,54,59
133,_home_Analise_digitais_2004_DB2_64_64_3,optical sensor Digital Persona,328x364,500,2,46,27,50,50,40
134,_home_Analise_digitais_2004_DB3_79_79_2,thermal sweeping sensor Atmel,300x480,512,1,49,62,91,91,100
135,_home_Analise_digitais_2004_DB2_34_34_1,optical sensor Digital Persona,328x364,500,2,8,34,54,54,56
136,_home_Analise_digitais_2004_DB1_32_32_2,optical sensor CrossMatch,640x480,500,1,27,27,46,46,41
137,_home_Analise_digitais_2004_DB2_27_27_6,optical sensor Digital Persona,328x364,500,1,52,43,55,55,52
138,_home_Analise_digitais_2004_DB4_32_32_4,synthetic fingerprint generation,288x384,500,1,44,30,40,40,46
139,_home_Analise_digitais_2004_DB2_30_30_3,optical sensor Digital Persona,328x364,500,2,35,15,30,30,18
140,_home_Analise_digitais_2004_DB2_107_107_7,optical sensor Digital Persona,328x364,500,5,0,36,71,71,119
141,_home_Analise_digitais_2004_DB2_42_42_3,optical sensor Digital Persona,328x364,500,2,43,26,53,53,32
142,_home_Analise_digitais_2004_DB4_17_17_6,synthetic fingerprint generation,288x384,500,1,22,42,57,57,70
143,_home_Analise_digitais_2004_DB1_36_36_7,optical sensor CrossMatch,640x480,500,1,47,38,60,60,57
144,_home_Analise_digitais_2004_DB4_20_20_7,synthetic fingerprint generation,288x384,500,2,36,29,46,46,46
145,_home_Analise_digitais_2004_DB3_53_53_7,thermal sweeping sensor Atmel,300x480,512,2,35,51,69,69,53
146,_home_Analise_digitais_2004_DB3_84_84_6,thermal sweeping sensor Atmel,300x480,512,1,48,60,102,102,82
147,_home_Analise_digitais_2004_DB1_65_65_6,optical sensor CrossMatch,640x480,500,1,34,38,53,53,57
148,_home_Analise_digitais_2004_DB4_65_65_4,synthetic fingerprint generation,288x384,500,2,14,46,52,52,54
149,_home_Analise_digitais_2004_DB3_63_63_3,thermal sweeping sensor Atmel,300x480,512,2,42,28,68,68,57
150,_home_Analise_digitais_2004_DB2_11_11_4,optical sensor Digital Persona,328x364,500,3,30,18,25,25,28
151,_home_Analise_digitais_2004_DB2_58_58_8,optical sensor Digital Persona,328x364,500,5,16,42,53,53,75
152,_home_Analise_digitais_2004_DB3_10_10_8,thermal sweeping sensor Atmel,300x480,512,4,26,143,173,173,0
153,_home_Analise_digitais_2004_DB2_95_95_6,optical sensor Digital Persona,328x364,500,1,22,36,64,64,54
154,_home_Analise_digitais_2004_DB3_22_22_7,thermal sweeping sensor Atmel,300x480,512,2,46,31,66,66,45
155,_home_Analise_digitais_2004_DB2_21_21_7,optical sensor Digital Persona,328x364,500,1,31,47,63,63,59
156,_home_Analise_digitais_2004_DB2_37_37_1,optical sensor Digital Persona,328x364,500,2,44,26,42,42,35
157,_home_Analise_digitais_2004_DB3_91_91_3,thermal sweeping sensor Atmel,300x480,512,3,24,71,110,110,142
158,_home_Analise_digitais_2004_DB3_40_40_2,thermal sweeping sensor Atmel,300x480,512,1,35,60,106,106,105
159,_home_Analise_digitais_2004_DB4_6_6_5,synthetic fingerprint generation,288x384,500,2,29,31,53,53,52
160,_home_Analise_digitais_2004_DB2_19_19_7,optical sensor Digital Persona,328x364,500,2,15,16,24,24,20
161,_home_Analise_digitais_2004_DB4_24_24_1,synthetic fingerprint generation,288x384,500,2,27,21,36,36,38
162,_home_Analise_digitais_2004_DB4_83_83_6,synthetic fingerprint generation,288x384,500,1,42,38,58,58,53
163,_home_Analise_digitais_2004_DB1_95_95_8,optical sensor CrossMatch,640x480,500,2,50,35,63,63,61
164,_home_Analise_digitais_2004_DB2_68_68_3,optical sensor Digital Persona,328x364,500,2,7,17,29,29,20
165,_home_Analise_digitais_2004_DB4_67_67_4,synthetic fingerprint generation,288x384,500,1,39,28,71,71,54
166,_home_Analise_digitais_2004_DB2_75_75_4,optical sensor Digital Persona,328x364,500,2,23,42,48,48,47
167,_home_Analise_digitais_2004_DB2_38_38_4,optical sensor Digital Persona,328x364,500,3,33,27,36,36,34
168,_home_Analise_digitais_2004_DB2_57_57_6,optical sensor Digital Persona,328x364,500,3,31,41,53,53,48
169,_home_Analise_digitais_2004_DB3_90_90_7,thermal sweeping sensor Atmel,300x480,512,4,12,104,169,169,200
170,_home_Analise_digitais_2004_DB4_93_93_8,synthetic fingerprint generation,288x384,500,2,20,32,45,45,41
171,_home_Analise_digitais_2004_DB1_82_82_6,optical sensor CrossMatch,640x480,500,3,29,33,52,52,73
172,_home_Analise_digitais_2004_DB3_19_19_6,thermal sweeping sensor Atmel,300x480,512,3,29,81,109,109,145
173,_home_Analise_digitais_2004_DB3_10_10_4,thermal sweeping sensor Atmel,300x480,512,2,40,56,120,120,130
174,_home_Analise_digitais_2004_DB4_61_61_7,synthetic fingerprint generation,288x384,500,3,6,2,12,12,4
175,_home_Analise_digitais_2004_DB4_44_44_2,synthetic fingerprint generation,288x384,500,2,22,25,33,33,40
176,_home_Analise_digitais_2004_DB4_3_3_4,synthetic fingerprint generation,288x384,500,1,34,40,62,62,58
177,_home_Analise_digitais_2004_DB3_28_28_7,thermal sweeping sensor Atmel,300x480,512,1,60,64,93,93,93
178,_home_Analise_digitais_2004_DB1_86_86_3,optical sensor CrossMatch,640x480,500,2,57,21,37,37,30
179,_home_Analise_digitais_2004_DB1_86_86_2,optical sensor CrossMatch,640x480,500,2,29,11,25,25,17
180,_home_Analise_digitais_2004_DB2_66_66_1,optical sensor Digital Persona,328x364,500,2,20,33,52,52,36
181,_home_Analise_digitais_2004_DB3_36_36_6,thermal sweeping sensor Atmel,300x480,512,1,37,58,112,112,111
182,_home_Analise_digitais_2004_DB3_82_82_1,thermal sweeping sensor Atmel,300x480,512,1,52,30,80,80,44
183,_home_Analise_digitais_2004_DB4_96_96_2,synthetic fingerprint generation,288x384,500,2,31,28,35,35,42
184,_home_Analise_digitais_2004_DB4_23_23_5,synthetic fingerprint generation,288x384,500,1,15,32,42,42,49
185,_home_Analise_digitais_2004_DB1_70_70_2,optical sensor CrossMatch,640x480,500,1,57,70,83,83,90
186,_home_Analise_digitais_2004_DB4_78_78_8,synthetic fingerprint generation,288x384,500,1,37,30,50,50,48
187,_home_Analise_digitais_2004_DB4_73_73_4,synthetic fingerprint generation,288x384,500,1,43,32,49,49,58
188,_home_Analise_digitais_2004_DB3_82_82_4,thermal sweeping sensor Atmel,300x480,512,2,49,25,62,62,40
189,_home_Analise_digitais_2004_DB3_89_89_8,thermal sweeping sensor Atmel,300x480,512,4,100,108,151,151,0
190,_home_Analise_digitais_2004_DB2_12_12_6,optical sensor Digital Persona,328x364,500,2,43,26,39,39,46
191,_home_Analise_digitais_2004_DB3_12_12_2,thermal sweeping sensor Atmel,300x480,512,4,25,98,145,145,159
192,_home_Analise_digitais_2004_DB2_45_45_2,optical sensor Digital Persona,328x364,500,3,23,21,35,35,30
193,_home_Analise_digitais_2004_DB2_8_8_4,optical sensor Digital Persona,328x364,500,3,7,21,30,30,22
194,_home_Analise_digitais_2004_DB4_3_3_7,synthetic fingerprint generation,288x384,500,2,34,38,46,46,73
195,_home_Analise_digitais_2004_DB3_74_74_5,thermal sweeping sensor Atmel,300x480,512,1,32,74,113,113,103
196,_home_Analise_digitais_2004_DB4_66_66_7,synthetic fingerprint generation,288x384,500,1,38,31,54,54,51
197,_home_Analise_digitais_2004_DB2_64_64_4,optical sensor Digital Persona,328x364,500,2,48,28,48,48,43
198,_home_Analise_digitais_2004_DB3_83_83_8,thermal sweeping sensor Atmel,300x480,512,2,46,30,61,61,53
199,_home_Analise_digitais_2004_DB4_24_24_6,synthetic fingerprint generation,288x384,500,2,32,20,43,43,26
200,_home_Analise_digitais_2004_DB3_73_73_6,thermal sweeping sensor Atmel,300x480,512,2,22,41,67,67,61
201,_home_Analise_digitais_2004_DB2_65_65_4,optical sensor Digital Persona,328x364,500,3,32,15,36,36,18
202,_home_Analise_digitais_2004_DB2_52_52_3,optical sensor Digital Persona,328x364,500,2,30,36,57,57,60
203,_home_Analise_digitais_2004_DB4_109_109_7,synthetic fingerprint generation,288x384,500,2,40,28,36,36,39
204,_home_Analise_digitais_2004_DB2_44_44_6,optical sensor Digital Persona,328x364,500,2,46,27,55,55,50
205,_home_Analise_digitais_2004_DB3_79_79_6,thermal sweeping sensor Atmel,300x480,512,1,46,56,103,103,83
206,_home_Analise_digitais_2004_DB4_33_33_6,synthetic fingerprint generation,288x384,500,2,42,32,33,33,34
207,_home_Analise_digitais_2004_DB1_100_100_8,optical sensor CrossMatch,640x480,500,2,20,48,71,71,108
208,_home_Analise_digitais_2004_DB4_66_66_4,synthetic fingerprint generation,288x384,500,1,31,35,47,47,46
209,_home_Analise_digitais_2004_DB3_80_80_8,thermal sweeping sensor Atmel,300x480,512,1,44,52,95,95,98
210,_home_Analise_digitais_2004_DB2_13_13_5,optical sensor Digital Persona,328x364,500,1,28,42,52,52,82
211,_home_Analise_digitais_2004_DB1_35_35_4,optical sensor CrossMatch,640x480,500,2,50,41,63,63,55
212,_home_Analise_digitais_2004_DB3_37_37_7,thermal sweeping sensor Atmel,300x480,512,2,47,36,73,73,60
213,_home_Analise_digitais_2004_DB2_15_15_6,optical sensor Digital Persona,328x364,500,3,20,50,81,81,87
214,_home_Analise_digitais_2004_DB3_60_60_4,thermal sweeping sensor Atmel,300x480,512,3,45,67,99,99,139
215,_home_Analise_digitais_2004_DB4_47_47_6,synthetic fingerprint generation,288x384,500,2,8,25,41,41,88
216,_home_Analise_digitais_2004_DB1_74_74_4,optical sensor CrossMatch,640x480,500,1,45,38,63,63,53
217,_home_Analise_digitais_2004_DB1_65_65_5,optical sensor CrossMatch,640x480,500,1,47,40,63,63,53
218,_home_Analise_digitais_2004_DB3_18_18_1,thermal sweeping sensor Atmel,300x480,512,1,56,60,94,94,123
219,_home_Analise_digitais_2004_DB4_1_1_6,synthetic fingerprint generation,288x384,500,3,19,45,44,44,78
220,_home_Analise_digitais_2004_DB4_108_108_2,synthetic fingerprint generation,288x384,500,2,28,33,50,50,51
221,_home_Analise_digitais_2004_DB3_81_81_2,thermal sweeping sensor Atmel,300x480,512,2,61,33,62,62,60
222,_home_Analise_digitais_2004_DB1_106_106_4,optical sensor CrossMatch,640x480,500,2,46,15,39,39,29
223,_home_Analise_digitais_2004_DB3_15_15_1,thermal sweeping sensor Atmel,300x480,512,3,34,75,114,114,129
224,_home_Analise_digitais_2004_DB1_54_54_6,optical sensor CrossMatch,640x480,500,1,46,32,70,70,52
225,_home_Analise_digitais_2004_DB1_38_38_2,optical sensor CrossMatch,640x480,500,2,22,7,41,41,15
226,_home_Analise_digitais_2004_DB2_17_17_5,optical sensor Digital Persona,328x364,500,2,51,25,38,38,31
227,_home_Analise_digitais_2004_DB4_23_23_8,synthetic fingerprint generation,288x384,500,3,18,19,33,33,48
228,_home_Analise_digitais_2004_DB1_8_8_7,optical sensor CrossMatch,640x480,500,3,23,25,42,42,61
229,_home_Analise_digitais_2004_DB2_90_90_3,optical sensor Digital Persona,328x364,500,2,47,34,49,49,58
230,_home_Analise_digitais_2004_DB2_108_108_7,optical sensor Digital Persona,328x364,500,2,43,34,57,57,69
231,_home_Analise_digitais_2004_DB1_15_15_7,optical sensor CrossMatch,640x480,500,2,52,34,45,45,43
232,_home_Analise_digitais_2004_DB2_12_12_8,optical sensor Digital Persona,328x364,500,3,11,55,80,80,106
233,_home_Analise_digitais_2004_DB1_14_14_1,optical sensor CrossMatch,640x480,500,1,50,51,61,61,97
234,_home_Analise_digitais_2004_DB4_70_70_2,synthetic fingerprint generation,288x384,500,3,17,13,20,20,30
235,_home_Analise_digitais_2004_DB1_109_109_4,optical sensor CrossMatch,640x480,500,2,41,36,51,51,44
236,_home_Analise_digitais_2004_DB2_88_88_1,optical sensor Digital Persona,328x364,500,1,52,44,56,56,54
237,_home_Analise_digitais_2004_DB2_80_80_8,optical sensor Digital Persona,328x364,500,1,49,45,84,84,81
238,_home_Analise_digitais_2004_DB3_62_62_4,thermal sweeping sensor Atmel,300x480,512,1,44,82,108,108,114
239,_home_Analise_digitais_2004_DB4_109_109_8,synthetic fingerprint generation,288x384,500,2,27,29,38,38,38
240,_home_Analise_digitais_2004_DB4_2_2_5,synthetic fingerprint generation,288x384,500,2,28,31,43,43,48
241,_home_Analise_digitais_2004_DB2_78_78_3,optical sensor Digital Persona,328x364,500,2,53,36,55,55,57
242,_home_Analise_digitais_2004_DB3_87_87_4,thermal sweeping sensor Atmel,300x480,512,3,28,44,79,79,87
